3055698005,14:28:15,BTC,sally688888,0.0000001,>52,82.823,+0.00000010
3055697981,14:28:15,BTC,igorgrigorenko,0.00000001,>52,15.6296,-0.00000001
3055697978,14:28:15,BTC,l206arusl,0.00000012,<48,63.7385,-0.00000012
3055697975,14:28:15,BTC,sofianrich,0.00000002,<48,6.956,+0.00000002
3055697961,14:28:14,BTC,mtuv21,0.0000002,<48,88.9829,-0.00000020
3055697960,14:28:14,BTC,kalive2008,0.000005,<48,9.9,+0.00000500
3055697951,14:28:14,BTC,sally688888,0.0000001,<48,15.7832,+0.00000010
3055697944,14:28:14,BTC,Ybwin79,0.00000001,>52,18.802,-0.00000001
3055697936,14:28:14,BTC,anaconda96,0.00000001,<48,4.2,+0.00000001
3055697934,14:28:14,BTC,igorgrigorenko,0.00000002,<48,24.6935,+0.00000002
3055697923,14:28:14,BTC,ilufa888,0.00000002,<48,16.8655,+0.00000002
3055697904,14:28:14,BTC,amazing888,0.00000001,<48,94.1253,-0.00000001
3055697895,14:28:14,BTC,agungp,0.00000001,>52,15.789,-0.00000001
3055697882,14:28:14,BTC,sally688888,0.0000001,>52,19.7784,-0.00000010
3055697878,14:28:14,BTC,DanMan73,0.0000001,>52,40.4139,-0.00000010
3055697873,14:28:14,BTC,abapaska,0.7,<48,25.4817,+0.70000000
3055697858,14:28:14,BTC,jonie15,0.00004,<48,80.6528,-0.00004000
3055697851,14:28:13,BTC,mtuv21,0.0000001,<48,85.865,-0.00000010
3055697847,14:28:13,BTC,sofianrich,0.00000001,<48,61.2855,-0.00000001
3055697846,14:28:13,BTC,mor943k,0.00000184,<48,11.58,+0.00000184
3055697845,14:28:13,BTC,hakanbey074207,0.0002,<48,80.999,-0.00020000
3055697843,14:28:13,BTC,sixtyeight,0.00000002,<48,82.888,-0.00000002
3055697837,14:28:13,BTC,powwer,0.00000001,>52,64.9082,+0.00000001
3055698005,14:28:15,BTC,sally688888,0.0000001,>52,82.823,+0.00000010
3055697981,14:28:15,BTC,igorgrigorenko,0.00000001,>52,15.6296,-0.00000001
3055697978,14:28:15,BTC,l206arusl,0.00000012,<48,63.7385,-0.00000012
3055697975,14:28:15,BTC,sofianrich,0.00000002,<48,6.956,+0.00000002
3055697961,14:28:14,BTC,mtuv21,0.0000002,<48,88.9829,-0.00000020
3055697960,14:28:14,BTC,kalive2008,0.000005,<48,9.9,+0.00000500
3055697951,14:28:14,BTC,sally688888,0.0000001,<48,15.7832,+0.00000010
3055697944,14:28:14,BTC,Ybwin79,0.00000001,>52,18.802,-0.00000001
3055697936,14:28:14,BTC,anaconda96,0.00000001,<48,4.2,+0.00000001
3055697934,14:28:14,BTC,igorgrigorenko,0.00000002,<48,24.6935,+0.00000002
3055697923,14:28:14,BTC,ilufa888,0.00000002,<48,16.8655,+0.00000002
3055697904,14:28:14,BTC,amazing888,0.00000001,<48,94.1253,-0.00000001
3055697895,14:28:14,BTC,agungp,0.00000001,>52,15.789,-0.00000001
3055697882,14:28:14,BTC,sally688888,0.0000001,>52,19.7784,-0.00000010
3055697878,14:28:14,BTC,DanMan73,0.0000001,>52,40.4139,-0.00000010
3055697873,14:28:14,BTC,abapaska,0.7,<48,25.4817,+0.70000000
3055697858,14:28:14,BTC,jonie15,0.00004,<48,80.6528,-0.00004000
3055697851,14:28:13,BTC,mtuv21,0.0000001,<48,85.865,-0.00000010
3055697847,14:28:13,BTC,sofianrich,0.00000001,<48,61.2855,-0.00000001
3055697846,14:28:13,BTC,mor943k,0.00000184,<48,11.58,+0.00000184
3055697845,14:28:13,BTC,hakanbey074207,0.0002,<48,80.999,-0.00020000
3055697843,14:28:13,BTC,sixtyeight,0.00000002,<48,82.888,-0.00000002
